装備種別	進化段階	分岐キー	分岐名	役割	進化元ID	進化元	進化元ランク	進化先ID	進化先	進化先ランク	強装備の欠片	専用素材コード	専用素材名	専用素材数	入手先	備考
武器	A→S	holy	聖剣系	安定 / 回復職・勇者向け	WPN_0007	英雄の剣	A	WPN_BR_SWORD_HOLY_S	聖剣アークレア	S	10	MAT_BR_WPN_HOLY_PATH	聖剣の導石	3	エリア高位探索・強敵で入手する分岐進化素材。	A→Sは分岐。名称は武器種ごとの固有モチーフを優先。S以降は同系統で強化。
武器	S→SS	holy	聖剣系	安定 / 回復職・勇者向け	WPN_BR_SWORD_HOLY_S	聖剣アークレア	S	WPN_BR_SWORD_HOLY_SS	星冠の誓剣	SS	15	MAT_BR_WPN_HOLY_ANCIENT	聖剣の古代片	5	再戦不可ボス素材の代替。最深部候補・強敵で入手する古代素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SS→SSS	holy	聖剣系	安定 / 回復職・勇者向け	WPN_BR_SWORD_HOLY_SS	星冠の誓剣	SS	WPN_BR_SWORD_HOLY_SSS	天命の聖剣	SSS	25	MAT_BR_WPN_HOLY_SECRET	聖剣の秘境晶	5	秘境探索で入手する高位素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SSS→EPIC	holy	聖剣系	安定 / 回復職・勇者向け	WPN_BR_SWORD_HOLY_SSS	天命の聖剣	SSS	WPN_BR_SWORD_HOLY_EPIC	星冠聖剣セレスティル	EPIC	35	MAT_BR_WPN_HOLY_CREST	聖剣の極印	1	EPIC進化用の特別素材。高難度報酬で入手。	EPIC名は地域名そのままを避け、漢字の地域感＋造語で固有化。聖剣系の最終装備。
武器	A→S	dark	魔剣系	火力 / 魔法戦士・暗黒職向け	WPN_0007	英雄の剣	A	WPN_BR_SWORD_DARK_S	黒炎の魔剣	S	10	MAT_BR_WPN_DARK_PATH	魔剣の導石	3	エリア高位探索・強敵で入手する分岐進化素材。	A→Sは分岐。名称は武器種ごとの固有モチーフを優先。S以降は同系統で強化。
武器	S→SS	dark	魔剣系	火力 / 魔法戦士・暗黒職向け	WPN_BR_SWORD_DARK_S	黒炎の魔剣	S	WPN_BR_SWORD_DARK_SS	冥哭剣ネクロム	SS	15	MAT_BR_WPN_DARK_ANCIENT	魔剣の古代片	5	再戦不可ボス素材の代替。最深部候補・強敵で入手する古代素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SS→SSS	dark	魔剣系	火力 / 魔法戦士・暗黒職向け	WPN_BR_SWORD_DARK_SS	冥哭剣ネクロム	SS	WPN_BR_SWORD_DARK_SSS	深淵喰らいの魔剣	SSS	25	MAT_BR_WPN_DARK_SECRET	魔剣の秘境晶	5	秘境探索で入手する高位素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SSS→EPIC	dark	魔剣系	火力 / 魔法戦士・暗黒職向け	WPN_BR_SWORD_DARK_SSS	深淵喰らいの魔剣	SSS	WPN_BR_SWORD_DARK_EPIC	深淵魔剣ネクロディア	EPIC	35	MAT_BR_WPN_DARK_CREST	魔剣の極印	1	EPIC進化用の特別素材。高難度報酬で入手。	EPIC名は地域名そのままを避け、漢字の地域感＋造語で固有化。魔剣系の最終装備。
武器	A→S	gale	疾風系	先手 / 盗賊・忍者・弓職向け	WPN_0007	英雄の剣	A	WPN_BR_SWORD_GALE_S	風切りの英雄剣	S	10	MAT_BR_WPN_GALE_PATH	疾風の導石	3	エリア高位探索・強敵で入手する分岐進化素材。	A→Sは分岐。名称は武器種ごとの固有モチーフを優先。S以降は同系統で強化。
武器	S→SS	gale	疾風系	先手 / 盗賊・忍者・弓職向け	WPN_BR_SWORD_GALE_S	風切りの英雄剣	S	WPN_BR_SWORD_GALE_SS	翠嵐剣エルフィア	SS	15	MAT_BR_WPN_GALE_ANCIENT	疾風の古代片	5	再戦不可ボス素材の代替。最深部候補・強敵で入手する古代素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SS→SSS	gale	疾風系	先手 / 盗賊・忍者・弓職向け	WPN_BR_SWORD_GALE_SS	翠嵐剣エルフィア	SS	WPN_BR_SWORD_GALE_SSS	天翔の迅剣	SSS	25	MAT_BR_WPN_GALE_SECRET	疾風の秘境晶	5	秘境探索で入手する高位素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SSS→EPIC	gale	疾風系	先手 / 盗賊・忍者・弓職向け	WPN_BR_SWORD_GALE_SSS	天翔の迅剣	SSS	WPN_BR_SWORD_GALE_EPIC	天翔迅剣エルフィード	EPIC	35	MAT_BR_WPN_GALE_CREST	疾風の極印	1	EPIC進化用の特別素材。高難度報酬で入手。	EPIC名は地域名そのままを避け、漢字の地域感＋造語で固有化。疾風系の最終装備。
武器	A→S	holy	聖剣系	安定 / 回復職・勇者向け	WPN_0018	月影の刃	A	WPN_BR_DAGGER_HOLY_S	白銀の祝刃	S	10	MAT_BR_WPN_HOLY_PATH	聖剣の導石	3	エリア高位探索・強敵で入手する分岐進化素材。	A→Sは分岐。名称は武器種ごとの固有モチーフを優先。S以降は同系統で強化。
武器	S→SS	holy	聖剣系	安定 / 回復職・勇者向け	WPN_BR_DAGGER_HOLY_S	白銀の祝刃	S	WPN_BR_DAGGER_HOLY_SS	星祈りの双刃	SS	15	MAT_BR_WPN_HOLY_ANCIENT	聖剣の古代片	5	再戦不可ボス素材の代替。最深部候補・強敵で入手する古代素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SS→SSS	holy	聖剣系	安定 / 回復職・勇者向け	WPN_BR_DAGGER_HOLY_SS	星祈りの双刃	SS	WPN_BR_DAGGER_HOLY_SSS	天命の双聖刃	SSS	25	MAT_BR_WPN_HOLY_SECRET	聖剣の秘境晶	5	秘境探索で入手する高位素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SSS→EPIC	holy	聖剣系	安定 / 回復職・勇者向け	WPN_BR_DAGGER_HOLY_SSS	天命の双聖刃	SSS	WPN_BR_DAGGER_HOLY_EPIC	聖影双刃アークシェル	EPIC	35	MAT_BR_WPN_HOLY_CREST	聖剣の極印	1	EPIC進化用の特別素材。高難度報酬で入手。	EPIC名は地域名そのままを避け、漢字の地域感＋造語で固有化。聖剣系の最終装備。
武器	A→S	dark	魔剣系	火力 / 魔法戦士・暗黒職向け	WPN_0018	月影の刃	A	WPN_BR_DAGGER_DARK_S	影炎の短剣	S	10	MAT_BR_WPN_DARK_PATH	魔剣の導石	3	エリア高位探索・強敵で入手する分岐進化素材。	A→Sは分岐。名称は武器種ごとの固有モチーフを優先。S以降は同系統で強化。
武器	S→SS	dark	魔剣系	火力 / 魔法戦士・暗黒職向け	WPN_BR_DAGGER_DARK_S	影炎の短剣	S	WPN_BR_DAGGER_DARK_SS	夜哭きの冥刃ネクロム	SS	15	MAT_BR_WPN_DARK_ANCIENT	魔剣の古代片	5	再戦不可ボス素材の代替。最深部候補・強敵で入手する古代素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SS→SSS	dark	魔剣系	火力 / 魔法戦士・暗黒職向け	WPN_BR_DAGGER_DARK_SS	夜哭きの冥刃ネクロム	SS	WPN_BR_DAGGER_DARK_SSS	深淵裂きの双刃	SSS	25	MAT_BR_WPN_DARK_SECRET	魔剣の秘境晶	5	秘境探索で入手する高位素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SSS→EPIC	dark	魔剣系	火力 / 魔法戦士・暗黒職向け	WPN_BR_DAGGER_DARK_SSS	深淵裂きの双刃	SSS	WPN_BR_DAGGER_DARK_EPIC	冥影刃ネクロヴェイン	EPIC	35	MAT_BR_WPN_DARK_CREST	魔剣の極印	1	EPIC進化用の特別素材。高難度報酬で入手。	EPIC名は地域名そのままを避け、漢字の地域感＋造語で固有化。魔剣系の最終装備。
武器	A→S	gale	疾風系	先手 / 盗賊・忍者・弓職向け	WPN_0018	月影の刃	A	WPN_BR_DAGGER_GALE_S	風切りの双刃	S	10	MAT_BR_WPN_GALE_PATH	疾風の導石	3	エリア高位探索・強敵で入手する分岐進化素材。	A→Sは分岐。名称は武器種ごとの固有モチーフを優先。S以降は同系統で強化。
武器	S→SS	gale	疾風系	先手 / 盗賊・忍者・弓職向け	WPN_BR_DAGGER_GALE_S	風切りの双刃	S	WPN_BR_DAGGER_GALE_SS	木霊の翠刃エルフィア	SS	15	MAT_BR_WPN_GALE_ANCIENT	疾風の古代片	5	再戦不可ボス素材の代替。最深部候補・強敵で入手する古代素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SS→SSS	gale	疾風系	先手 / 盗賊・忍者・弓職向け	WPN_BR_DAGGER_GALE_SS	木霊の翠刃エルフィア	SS	WPN_BR_DAGGER_GALE_SSS	天翔の瞬刃	SSS	25	MAT_BR_WPN_GALE_SECRET	疾風の秘境晶	5	秘境探索で入手する高位素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SSS→EPIC	gale	疾風系	先手 / 盗賊・忍者・弓職向け	WPN_BR_DAGGER_GALE_SSS	天翔の瞬刃	SSS	WPN_BR_DAGGER_GALE_EPIC	風切双刃エルフィネル	EPIC	35	MAT_BR_WPN_GALE_CREST	疾風の極印	1	EPIC進化用の特別素材。高難度報酬で入手。	EPIC名は地域名そのままを避け、漢字の地域感＋造語で固有化。疾風系の最終装備。
武器	A→S	holy	聖剣系	安定 / 回復職・勇者向け	WPN_0029	聖騎士の槍	A	WPN_BR_SPEAR_HOLY_S	騎聖槍アークレア	S	10	MAT_BR_WPN_HOLY_PATH	聖剣の導石	3	エリア高位探索・強敵で入手する分岐進化素材。	A→Sは分岐。名称は武器種ごとの固有モチーフを優先。S以降は同系統で強化。
武器	S→SS	holy	聖剣系	安定 / 回復職・勇者向け	WPN_BR_SPEAR_HOLY_S	騎聖槍アークレア	S	WPN_BR_SPEAR_HOLY_SS	星標の巡礼槍	SS	15	MAT_BR_WPN_HOLY_ANCIENT	聖剣の古代片	5	再戦不可ボス素材の代替。最深部候補・強敵で入手する古代素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SS→SSS	holy	聖剣系	安定 / 回復職・勇者向け	WPN_BR_SPEAR_HOLY_SS	星標の巡礼槍	SS	WPN_BR_SPEAR_HOLY_SSS	竜王の誓槍	SSS	25	MAT_BR_WPN_HOLY_SECRET	聖剣の秘境晶	5	秘境探索で入手する高位素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SSS→EPIC	holy	聖剣系	安定 / 回復職・勇者向け	WPN_BR_SPEAR_HOLY_SSS	竜王の誓槍	SSS	WPN_BR_SPEAR_HOLY_EPIC	天翼聖槍セレスヴァーン	EPIC	35	MAT_BR_WPN_HOLY_CREST	聖剣の極印	1	EPIC進化用の特別素材。高難度報酬で入手。	EPIC名は地域名そのままを避け、漢字の地域感＋造語で固有化。聖剣系の最終装備。
武器	A→S	dark	魔剣系	火力 / 魔法戦士・暗黒職向け	WPN_0029	聖騎士の槍	A	WPN_BR_SPEAR_DARK_S	黒炎の牙槍	S	10	MAT_BR_WPN_DARK_PATH	魔剣の導石	3	エリア高位探索・強敵で入手する分岐進化素材。	A→Sは分岐。名称は武器種ごとの固有モチーフを優先。S以降は同系統で強化。
武器	S→SS	dark	魔剣系	火力 / 魔法戦士・暗黒職向け	WPN_BR_SPEAR_DARK_S	黒炎の牙槍	S	WPN_BR_SPEAR_DARK_SS	冥哭槍ネクロム	SS	15	MAT_BR_WPN_DARK_ANCIENT	魔剣の古代片	5	再戦不可ボス素材の代替。最深部候補・強敵で入手する古代素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SS→SSS	dark	魔剣系	火力 / 魔法戦士・暗黒職向け	WPN_BR_SPEAR_DARK_SS	冥哭槍ネクロム	SS	WPN_BR_SPEAR_DARK_SSS	深淵穿ちの魔槍	SSS	25	MAT_BR_WPN_DARK_SECRET	魔剣の秘境晶	5	秘境探索で入手する高位素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SSS→EPIC	dark	魔剣系	火力 / 魔法戦士・暗黒職向け	WPN_BR_SPEAR_DARK_SSS	深淵穿ちの魔槍	SSS	WPN_BR_SPEAR_DARK_EPIC	冥竜魔槍ネクログレイヴ	EPIC	35	MAT_BR_WPN_DARK_CREST	魔剣の極印	1	EPIC進化用の特別素材。高難度報酬で入手。	EPIC名は地域名そのままを避け、漢字の地域感＋造語で固有化。魔剣系の最終装備。
武器	A→S	gale	疾風系	先手 / 盗賊・忍者・弓職向け	WPN_0029	聖騎士の槍	A	WPN_BR_SPEAR_GALE_S	風穿ちの英雄槍	S	10	MAT_BR_WPN_GALE_PATH	疾風の導石	3	エリア高位探索・強敵で入手する分岐進化素材。	A→Sは分岐。名称は武器種ごとの固有モチーフを優先。S以降は同系統で強化。
武器	S→SS	gale	疾風系	先手 / 盗賊・忍者・弓職向け	WPN_BR_SPEAR_GALE_S	風穿ちの英雄槍	S	WPN_BR_SPEAR_GALE_SS	翠角槍エルフィア	SS	15	MAT_BR_WPN_GALE_ANCIENT	疾風の古代片	5	再戦不可ボス素材の代替。最深部候補・強敵で入手する古代素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SS→SSS	gale	疾風系	先手 / 盗賊・忍者・弓職向け	WPN_BR_SPEAR_GALE_SS	翠角槍エルフィア	SS	WPN_BR_SPEAR_GALE_SSS	天翔の迅槍	SSS	25	MAT_BR_WPN_GALE_SECRET	疾風の秘境晶	5	秘境探索で入手する高位素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SSS→EPIC	gale	疾風系	先手 / 盗賊・忍者・弓職向け	WPN_BR_SPEAR_GALE_SSS	天翔の迅槍	SSS	WPN_BR_SPEAR_GALE_EPIC	風穿迅槍エルファリオン	EPIC	35	MAT_BR_WPN_GALE_CREST	疾風の極印	1	EPIC進化用の特別素材。高難度報酬で入手。	EPIC名は地域名そのままを避け、漢字の地域感＋造語で固有化。疾風系の最終装備。
武器	A→S	holy	聖剣系	安定 / 回復職・勇者向け	WPN_0040	竜断ちの斧	A	WPN_BR_AXE_HOLY_S	聖斧グランベルグ	S	10	MAT_BR_WPN_HOLY_PATH	聖剣の導石	3	エリア高位探索・強敵で入手する分岐進化素材。	A→Sは分岐。名称は武器種ごとの固有モチーフを優先。S以降は同系統で強化。
武器	S→SS	holy	聖剣系	安定 / 回復職・勇者向け	WPN_BR_AXE_HOLY_S	聖斧グランベルグ	S	WPN_BR_AXE_HOLY_SS	王城の断罪斧	SS	15	MAT_BR_WPN_HOLY_ANCIENT	聖剣の古代片	5	再戦不可ボス素材の代替。最深部候補・強敵で入手する古代素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SS→SSS	holy	聖剣系	安定 / 回復職・勇者向け	WPN_BR_AXE_HOLY_SS	王城の断罪斧	SS	WPN_BR_AXE_HOLY_SSS	竜王の砕天斧	SSS	25	MAT_BR_WPN_HOLY_SECRET	聖剣の秘境晶	5	秘境探索で入手する高位素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SSS→EPIC	holy	聖剣系	安定 / 回復職・勇者向け	WPN_BR_AXE_HOLY_SSS	竜王の砕天斧	SSS	WPN_BR_AXE_HOLY_EPIC	聖断戦斧アークベルグ	EPIC	35	MAT_BR_WPN_HOLY_CREST	聖剣の極印	1	EPIC進化用の特別素材。高難度報酬で入手。	EPIC名は地域名そのままを避け、漢字の地域感＋造語で固有化。聖剣系の最終装備。
武器	A→S	dark	魔剣系	火力 / 魔法戦士・暗黒職向け	WPN_0040	竜断ちの斧	A	WPN_BR_AXE_DARK_S	黒炎の断斧	S	10	MAT_BR_WPN_DARK_PATH	魔剣の導石	3	エリア高位探索・強敵で入手する分岐進化素材。	A→Sは分岐。名称は武器種ごとの固有モチーフを優先。S以降は同系統で強化。
武器	S→SS	dark	魔剣系	火力 / 魔法戦士・暗黒職向け	WPN_BR_AXE_DARK_S	黒炎の断斧	S	WPN_BR_AXE_DARK_SS	冥獣斧ネクロム	SS	15	MAT_BR_WPN_DARK_ANCIENT	魔剣の古代片	5	再戦不可ボス素材の代替。最深部候補・強敵で入手する古代素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SS→SSS	dark	魔剣系	火力 / 魔法戦士・暗黒職向け	WPN_BR_AXE_DARK_SS	冥獣斧ネクロム	SS	WPN_BR_AXE_DARK_SSS	深淵割りの戦斧	SSS	25	MAT_BR_WPN_DARK_SECRET	魔剣の秘境晶	5	秘境探索で入手する高位素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SSS→EPIC	dark	魔剣系	火力 / 魔法戦士・暗黒職向け	WPN_BR_AXE_DARK_SSS	深淵割りの戦斧	SSS	WPN_BR_AXE_DARK_EPIC	黒炎裂斧ネクロバルグ	EPIC	35	MAT_BR_WPN_DARK_CREST	魔剣の極印	1	EPIC進化用の特別素材。高難度報酬で入手。	EPIC名は地域名そのままを避け、漢字の地域感＋造語で固有化。魔剣系の最終装備。
武器	A→S	gale	疾風系	先手 / 盗賊・忍者・弓職向け	WPN_0040	竜断ちの斧	A	WPN_BR_AXE_GALE_S	嵐割りの戦斧	S	10	MAT_BR_WPN_GALE_PATH	疾風の導石	3	エリア高位探索・強敵で入手する分岐進化素材。	A→Sは分岐。名称は武器種ごとの固有モチーフを優先。S以降は同系統で強化。
武器	S→SS	gale	疾風系	先手 / 盗賊・忍者・弓職向け	WPN_BR_AXE_GALE_S	嵐割りの戦斧	S	WPN_BR_AXE_GALE_SS	森断ちの嵐斧	SS	15	MAT_BR_WPN_GALE_ANCIENT	疾風の古代片	5	再戦不可ボス素材の代替。最深部候補・強敵で入手する古代素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SS→SSS	gale	疾風系	先手 / 盗賊・忍者・弓職向け	WPN_BR_AXE_GALE_SS	森断ちの嵐斧	SS	WPN_BR_AXE_GALE_SSS	天翔の旋斧	SSS	25	MAT_BR_WPN_GALE_SECRET	疾風の秘境晶	5	秘境探索で入手する高位素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SSS→EPIC	gale	疾風系	先手 / 盗賊・忍者・弓職向け	WPN_BR_AXE_GALE_SSS	天翔の旋斧	SSS	WPN_BR_AXE_GALE_EPIC	嵐割迅斧エルヴァルト	EPIC	35	MAT_BR_WPN_GALE_CREST	疾風の極印	1	EPIC進化用の特別素材。高難度報酬で入手。	EPIC名は地域名そのままを避け、漢字の地域感＋造語で固有化。疾風系の最終装備。
武器	A→S	holy	聖剣系	安定 / 回復職・勇者向け	WPN_0051	星砕きの棍棒	A	WPN_BR_CLUB_HOLY_S	聖棍アークレア	S	10	MAT_BR_WPN_HOLY_PATH	聖剣の導石	3	エリア高位探索・強敵で入手する分岐進化素材。	A→Sは分岐。名称は武器種ごとの固有モチーフを優先。S以降は同系統で強化。
武器	S→SS	holy	聖剣系	安定 / 回復職・勇者向け	WPN_BR_CLUB_HOLY_S	聖棍アークレア	S	WPN_BR_CLUB_HOLY_SS	星鐘の聖棍	SS	15	MAT_BR_WPN_HOLY_ANCIENT	聖剣の古代片	5	再戦不可ボス素材の代替。最深部候補・強敵で入手する古代素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SS→SSS	holy	聖剣系	安定 / 回復職・勇者向け	WPN_BR_CLUB_HOLY_SS	星鐘の聖棍	SS	WPN_BR_CLUB_HOLY_SSS	竜王の破城棍	SSS	25	MAT_BR_WPN_HOLY_SECRET	聖剣の秘境晶	5	秘境探索で入手する高位素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SSS→EPIC	holy	聖剣系	安定 / 回復職・勇者向け	WPN_BR_CLUB_HOLY_SSS	竜王の破城棍	SSS	WPN_BR_CLUB_HOLY_EPIC	王守聖棍アークガルド	EPIC	35	MAT_BR_WPN_HOLY_CREST	聖剣の極印	1	EPIC進化用の特別素材。高難度報酬で入手。	EPIC名は地域名そのままを避け、漢字の地域感＋造語で固有化。聖剣系の最終装備。
武器	A→S	dark	魔剣系	火力 / 魔法戦士・暗黒職向け	WPN_0051	星砕きの棍棒	A	WPN_BR_CLUB_DARK_S	黒鉄の魔棍	S	10	MAT_BR_WPN_DARK_PATH	魔剣の導石	3	エリア高位探索・強敵で入手する分岐進化素材。	A→Sは分岐。名称は武器種ごとの固有モチーフを優先。S以降は同系統で強化。
武器	S→SS	dark	魔剣系	火力 / 魔法戦士・暗黒職向け	WPN_BR_CLUB_DARK_S	黒鉄の魔棍	S	WPN_BR_CLUB_DARK_SS	冥鐘棍ネクロム	SS	15	MAT_BR_WPN_DARK_ANCIENT	魔剣の古代片	5	再戦不可ボス素材の代替。最深部候補・強敵で入手する古代素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SS→SSS	dark	魔剣系	火力 / 魔法戦士・暗黒職向け	WPN_BR_CLUB_DARK_SS	冥鐘棍ネクロム	SS	WPN_BR_CLUB_DARK_SSS	深淵砕きの魔棍	SSS	25	MAT_BR_WPN_DARK_SECRET	魔剣の秘境晶	5	秘境探索で入手する高位素材。	S以降は同系統で強化。系統感は残しつつ、武器種ごとの名称差を付ける。
武器	SSS→EPIC	dark	魔剣系	火力 / 魔法戦士・暗黒職向け	WPN_BR_CLUB_DARK_SSS	深淵砕きの魔棍	SSS	WPN_BR_CLUB_DARK_EPIC	冥砕魔棍ネクロドゥーム	EPIC	35	MAT_BR_WPN_DARK_CREST	魔剣の極印	1	EPIC進化用の特別素材。高難度報酬で入手。	EPIC名は地域名そのままを避け、漢字の地域感＋造語で固有化。魔剣系の最終装備。
武器	A→S	gale	疾風系	先手 / 盗賊・忍者・弓職向け	WPN_0051	星砕きの棍棒	A	WPN_BR_CLUB_GALE_S	疾風の棍	S	10	MAT_BR_WPN_GALE_PATH	疾風の導石	3	エリア高位探索・強敵で入手する分岐進化素材。	A→Sは分岐。名称は武器種ごとの固有モチーフを優先。S以降は同系統で強化。
